Timestamp,"Please create a simple ID (e.g., DOC001, DrAhmed, etc.)",What is your primary medical specialty?,How many years of clinical experience do you have?,What is your primary work setting?,Have you used AI-based clinical decision support tools before?,Which explanation helps you understand the AI's decision BEST?,Rate the clarity of your preferred explanation for clinical decision-making,Would you trust this explanation in clinical practice?,Any comments on this case? What information is helpful or missing?,Which explanation helps you understand the AI's decision BEST?,Rate the clarity of your preferred explanation for clinical decision-making,Would you trust this explanation in clinical practice?,Any comments on this case? What information is helpful or missing?,Which explanation helps you understand the AI's decision BEST?,Rate the clarity of your preferred explanation for clinical decision-making,Would you trust this explanation in clinical practice?,Any comments on this case? What information is helpful or missing?,What clinical information is MISSING from these AI explanations that you would need for decision-making?,Which aspect of the explanations did you find MOST useful?,How would this AI system be most useful in YOUR specific practice setting?,What would be the main barriers to using such a system in Bangladesh?,"Overall, how valuable would explainable AI be for maternal health in Bangladesh?","Any additional comments, suggestions, or concerns about AI in maternal healthcare?"
12/9/2025 18:00:42,Doc,General Practice / Family Medicine,Less than 5 years,Medical College/Teaching Hospital,"Yes, occasionally",B. (Black-box with SHAP),3,"Yes, I would trust it",,A. (Hybrid: Fuzzy Rules + SHAP),3,"Yes, I would trust it",,B. (Black-box with SHAP),3,"Yes, I would trust it",,Age group ,Clinical parameters ,Need to research more,"Integration with existing systems, Regulatory/legal concerns",3,
12/11/2025 22:31:20,0601,Student ,Less than 5 years,Medical College/Teaching Hospital,"No, but interested",A. (Hybrid: Fuzzy Rules + SHAP),2,"No, I would not trust it",No,B. (Black-box with SHAP),1,"No, I would not trust it",No,B. (Black-box with SHAP),2,"No, I would not trust it",No,Others investigation ,All,No,Trust in AI predictions,4,Ni
12/11/2025 22:44:32,DrAhmed,Oncology ,Less than 5 years,Medical College/Teaching Hospital,"No, but interested",A. (Hybrid: Fuzzy Rules + SHAP),1,"Maybe, with some reservations",,A. (Hybrid: Fuzzy Rules + SHAP),4,"Maybe, with some reservations",,B. (Black-box with SHAP),2,"Maybe, with some reservations",Good,Rural practice ,Rural,Very much,Integration with existing systems,2,Yes
12/11/2025 22:47:58,Prova,General Practice / Family Medicine,Less than 5 years,Medical College/Teaching Hospital,"Yes, occasionally",A. (Hybrid: Fuzzy Rules + SHAP),4,"Maybe, with some reservations",No,A. (Hybrid: Fuzzy Rules + SHAP),4,"Maybe, with some reservations",No,B. (Black-box with SHAP),4,"Yes, I would trust it",,Nothing,Didn't understand ,Very helpful,"Lack of internet connectivity, Integration with existing systems, Language barriers (needs Bengali), Regulatory/legal concerns",5,It should give info with references
12/11/2025 22:49:42,Doc3,General Practice / Family Medicine,Less than 5 years,Medical College/Teaching Hospital,"Yes, occasionally",A. (Hybrid: Fuzzy Rules + SHAP),1,"Yes, I would trust it",,A. (Hybrid: Fuzzy Rules + SHAP),1,"Yes, I would trust it",,A. (Hybrid: Fuzzy Rules + SHAP),1,"Yes, I would trust it",,Future risk and complications ,Risk of the patient,Give me a direction of thinking ,"Lack of internet connectivity, Training requirements",4,
12/11/2025 22:59:14,Masura Islam ,Mbbs,Less than 5 years,Medical College/Teaching Hospital,"Yes, occasionally",C. (Baseline: Score only),5,"No, I would not trust it",Vague symptoms ,B. (Black-box with SHAP),2,"No, I would not trust it",Other investigation ,A. (Hybrid: Fuzzy Rules + SHAP),3,"Maybe, with some reservations",Other investigation ,Extended explanation ,BP ,Diagnosis specifically ,Training requirements,5,No
12/11/2025 23:32:31,DOC2002,Internal Medicine,Less than 5 years,Medical College/Teaching Hospital,"Yes, regularly",C. (Baseline: Score only),2,"Maybe, with some reservations",,A. (Hybrid: Fuzzy Rules + SHAP),4,"Yes, I would trust it",,A. (Hybrid: Fuzzy Rules + SHAP),4,"Yes, I would trust it",,Respiratory status ,Group B,It will help to gain confidence ,Language barriers (needs Bengali),3,
12/12/2025 6:31:38,DrNuman,Internal Medicine,Less than 5 years,Urban Private Hospital/Clinic,"No, but interested",A. (Hybrid: Fuzzy Rules + SHAP),5,"Maybe, with some reservations",,A. (Hybrid: Fuzzy Rules + SHAP),5,"Maybe, with some reservations",,A. (Hybrid: Fuzzy Rules + SHAP),5,"Maybe, with some reservations",,Nothing significant ,analysis about every point given in the case,I think it will give a accurate result in case of diagnosis a disease easily ,"Trust in AI predictions, Integration with existing systems",4,
12/12/2025 11:53:23,Dr.Muttakin,Internal Medicine,Less than 5 years,Medical College/Teaching Hospital,"Yes, regularly",A. (Hybrid: Fuzzy Rules + SHAP),1,"Yes, I would trust it",,A. (Hybrid: Fuzzy Rules + SHAP),2,"Yes, I would trust it",GDM,B. (Black-box with SHAP),3,"Yes, I would trust it",DM with eclapsia,Nothing ,History ,Time management ,Training requirements,3,Nutrition and Health Check up
12/12/2025 15:15:46,DOC001,General Practice / Family Medicine,Less than 5 years,Medical College/Teaching Hospital,"No, and not interested",A. (Hybrid: Fuzzy Rules + SHAP),2,"Yes, I would trust it",Zzz,B. (Black-box with SHAP),1,"Yes, I would trust it",Zz,B. (Black-box with SHAP),1,"No, I would not trust it",Zz,12,Ww,Ww,Lack of internet connectivity,1,Zz
12/16/2025 15:52:57,DOC05,Obstetrics & Gynecology,Less than 5 years,Rural Public Hospital,"Yes, occasionally",A. (Hybrid: Fuzzy Rules + SHAP),4,"Yes, I would trust it",,A. (Hybrid: Fuzzy Rules + SHAP),4,"Yes, I would trust it",,A. (Hybrid: Fuzzy Rules + SHAP),3,"Yes, I would trust it",,N/A,Explanations,In many ways,"Lack of internet connectivity, Integration with existing systems, Language barriers (needs Bengali)",4,
12/16/2025 15:55:14,DrAlam,Obstetrics & Gynecology,Less than 5 years,Rural Health Center,"Yes, occasionally",A. (Hybrid: Fuzzy Rules + SHAP),4,"Yes, I would trust it",,A. (Hybrid: Fuzzy Rules + SHAP),4,"Yes, I would trust it",,A. (Hybrid: Fuzzy Rules + SHAP),3,"Maybe, with some reservations",,Nothing Important,ALL,Decision making ,"Lack of internet connectivity, Integration with existing systems",4,
12/16/2025 15:57:39,DrIslam,General Practice / Family Medicine,Less than 5 years,Medical College/Teaching Hospital,"Yes, regularly",A. (Hybrid: Fuzzy Rules + SHAP),5,"Yes, I would trust it",,A. (Hybrid: Fuzzy Rules + SHAP),4,"Yes, I would trust it",,A. (Hybrid: Fuzzy Rules + SHAP),3,"Maybe, with some reservations",,N/A,All,Significantly with proper training,"Lack of internet connectivity, Training requirements",4,
12/16/2025 16:01:58,DOC1,Obstetrics & Gynecology,Less than 5 years,Urban Private Hospital/Clinic,"Yes, regularly",A. (Hybrid: Fuzzy Rules + SHAP),5,"Yes, I would trust it",,A. (Hybrid: Fuzzy Rules + SHAP),5,"Yes, I would trust it",,A. (Hybrid: Fuzzy Rules + SHAP),3,"Maybe, with some reservations",,N/A,All,By implimenting,"Lack of internet connectivity, Integration with existing systems",4,
